MEMBER,PARTY,DISTRICT,TRUMP SCORE
Brett Guthrie,R,KY-2,1.00
John A. Yarmuth,D,KY-3,0.00
Thomas Massie,R,KY-4,0.92
Harold Rogers,R,KY-5,1.00
Andy Barr,R,KY-6,1.00
Steve Scalise,R,LA-1,1.00
Cedric L. Richmond,D,LA-2,0.00
Clay Higgins,R,LA-3,1.00
Mike Johnson,R,LA-4,1.00
Ralph Lee Abraham,R,LA-5,1.00
Garret Graves,R,LA-6,1.00
Richard E. Neal,D,MA-1,0.00
James P. McGovern,D,MA-2,0.00
Niki Tsongas,D,MA-3,0.00
Joseph P. Kennedy III,D,MA-4,0.00
Katherine M. Clark,D,MA-5,0.00
Seth Moulton,D,MA-6,0.08
Michael E. Capuano,D,MA-7,0.00
Stephen F. Lynch,D,MA-8,0.00
William R. Keating,D,MA-9,0.08
Andy Harris,R,MD-1,1.00
C. A. Dutch Ruppersberger,D,MD-2,0.08
John P. Sarbanes,D,MD-3,0.00
Anthony G. Brown,D,MD-4,0.00
Steny H. Hoyer,D,MD-5,0.00
John K. Delaney,D,MD-6,0.08
Elijah E. Cummings,D,MD-7,0.00
Jamie Raskin,D,MD-8,0.00
Chellie Pingree,D,ME-1,0.00
Bruce Poliquin,R,ME-2,0.92
Jack Bergman,R,MI-1,1.00
Paul Mitchell,R,MI-10,1.00
David A. Trott,R,MI-11,1.00
Debbie Dingell,D,MI-12,0.00
John Conyers Jr.,D,MI-13,0.00
Brenda L. Lawrence,D,MI-14,0.00
Bill Huizenga,R,MI-2,1.00
Justin Amash,R,MI-3,0.85
John R. Moolenaar,R,MI-4,1.00
Daniel T. Kildee,D,MI-5,0.00
Fred Upton,R,MI-6,1.00
Tim Walberg,R,MI-7,1.00
Mike Bishop,R,MI-8,1.00
Sander M. Levin,D,MI-9,0.00
Timothy J. Walz,D,MN-1,0.15
Jason Lewis,R,MN-2,1.00
Erik Paulsen,R,MN-3,1.00
Betty McCollum,D,MN-4,0.00
Keith Ellison,D,MN-5,0.00
Tom Emmer,R,MN-6,1.00
Collin C. Peterson,D,MN-7,0.73
Richard M. Nolan,D,MN-8,0.08
Wm. Lacy Clay,D,MO-1,0.00
Ann Wagner,R,MO-2,1.00
Blaine Luetkemeyer,R,MO-3,1.00
Vicky Hartzler,R,MO-4,1.00
Emanuel Cleaver,D,MO-5,0.00
Sam Graves,R,MO-6,1.00
Billy Long,R,MO-7,1.00
Jason Smith,R,MO-8,1.00
Trent Kelly,R,MS-1,1.00
Bennie G. Thompson,D,MS-2,0.00
Gregg Harper,R,MS-3,1.00
Steven M. Palazzo,R,MS-4,1.00
Ryan K. Zinke,R,MT-AL,1.00
G. K. Butterfield,D,NC-1,0.00
Patrick T. McHenry,R,NC-10,1.00
Mark Meadows,R,NC-11,1.00
Alma S. Adams,D,NC-12,0.00
Ted Budd,R,NC-13,1.00
George Holding,R,NC-2,1.00
Walter B. Jones,R,NC-3,0.75
David E. Price,D,NC-4,0.00
Virginia Foxx,R,NC-5,1.00
Mark Walker,R,NC-6,1.00
David Rouzer,R,NC-7,1.00
Richard Hudson,R,NC-8,1.00
Robert Pittenger,R,NC-9,1.00
Kevin Cramer,R,ND-AL,1.00
Jeff Fortenberry,R,NE-1,1.00
Don Bacon,R,NE-2,1.00
Adrian Smith,R,NE-3,1.00
Carol Shea-Porter,D,NH-1,0.00
Ann M. Kuster,D,NH-2,0.08
Donald Norcross,D,NJ-1,0.08
Donald M. Payne Jr.,D,NJ-10,0.00
Rodney P. Frelinghuysen,R,NJ-11,1.00
Bonnie Watson Coleman,D,NJ-12,0.00
Frank A. LoBiondo,R,NJ-2,0.85
Thomas MacArthur,R,NJ-3,0.92
Christopher H. Smith,R,NJ-4,0.77
Josh Gottheimer,D,NJ-5,0.08
Frank Pallone Jr.,D,NJ-6,0.00
Leonard Lance,R,NJ-7,0.92
Albio Sires,D,NJ-8,0.10
Bill Pascrell Jr.,D,NJ-9,0.08
Michelle Lujan Grisham,D,NM-1,0.00
Stevan Pearce,R,NM-2,1.00
Ben Ray Luján,D,NM-3,0.00
Dina Titus,D,NV-1,0.00
Mark E. Amodei,R,NV-2,1.00
Jacky Rosen,D,NV-3,0.00
Ruben Kihuen,D,NV-4,0.00
Lee M. Zeldin,R,NY-1,1.00
Jerrold Nadler,D,NY-10,0.00
Daniel M. Donovan Jr.,R,NY-11,0.92
Carolyn B. Maloney,D,NY-12,0.00
Adriano Espaillat,D,NY-13,0.00
Joseph Crowley,D,NY-14,0.00
José E. Serrano,D,NY-15,0.00
Eliot L. Engel,D,NY-16,0.00
Nita M. Lowey,D,NY-17,0.00
Sean Patrick Maloney,D,NY-18,0.08
John J. Faso,R,NY-19,0.92
Peter T. King,R,NY-2,0.92
Paul Tonko,D,NY-20,0.00
Elise M. Stefanik,R,NY-21,0.92
Claudia Tenney,R,NY-22,1.00
Tom Reed,R,NY-23,1.00
John Katko,R,NY-24,0.85
Louise McIntosh Slaughter,D,NY-25,0.00
Brian Higgins,D,NY-26,0.00
Chris Collins,R,NY-27,1.00
Thomas R. Suozzi,D,NY-3,0.08
Kathleen M. Rice,D,NY-4,0.00
Gregory W. Meeks,D,NY-5,0.00
Grace Meng,D,NY-6,0.00
Nydia M. Velázquez,D,NY-7,0.00
Hakeem S. Jeffries,D,NY-8,0.00
Yvette D. Clarke,D,NY-9,0.00
Steve Chabot,R,OH-1,1.00
Michael R. Turner,R,OH-10,1.00
Marcia L. Fudge,D,OH-11,0.00
Patrick J. Tiberi,R,OH-12,1.00
Tim Ryan,D,OH-13,0.08
David P. Joyce,R,OH-14,1.00
Steve Stivers,R,OH-15,1.00
James B. Renacci,R,OH-16,1.00
Brad R. Wenstrup,R,OH-2,1.00
Joyce Beatty,D,OH-3,0.00
Jim Jordan,R,OH-4,1.00
Robert E. Latta,R,OH-5,1.00
Bill Johnson,R,OH-6,1.00
Bob Gibbs,R,OH-7,1.00
Warren Davidson,R,OH-8,1.00
Marcy Kaptur,D,OH-9,0.00
Jim Bridenstine,R,OK-1,1.00
Markwayne Mullin,R,OK-2,1.00
Frank D. Lucas,R,OK-3,1.00
Tom Cole,R,OK-4,1.00
Steve Russell,R,OK-5,1.00
Suzanne Bonamici,D,OR-1,0.00
Greg Walden,R,OR-2,1.00
Earl Blumenauer,D,OR-3,0.00
Peter A. DeFazio,D,OR-4,0.08
Kurt Schrader,D,OR-5,0.17
Robert A. Brady,D,PA-1,0.00
Tom Marino,R,PA-10,1.00
Lou Barletta,R,PA-11,1.00
Keith J. Rothfus,R,PA-12,1.00
Brendan F. Boyle,D,PA-13,0.00
Michael F. Doyle,D,PA-14,0.00
Charles W. Dent,R,PA-15,0.92
Lloyd Smucker,R,PA-16,1.00
Matt Cartwright,D,PA-17,0.08
Tim Murphy,R,PA-18,1.00
Dwight Evans,D,PA-2,0.00
Mike Kelly,R,PA-3,1.00
Scott Perry,R,PA-4,1.00
Glenn Thompson,R,PA-5,1.00
Ryan A. Costello,R,PA-6,0.92
Patrick Meehan,R,PA-7,0.85
Brian K. Fitzpatrick,R,PA-8,0.62
Bill Shuster,R,PA-9,1.00
David N. Cicilline,D,RI-1,0.00
James R. Langevin,D,RI-2,0.00
Mark Sanford,R,SC-1,0.85
Joe Wilson,R,SC-2,1.00
Jeff Duncan,R,SC-3,1.00
Trey Gowdy,R,SC-4,1.00
Mick Mulvaney,R,SC-5,—
James E. Clyburn,D,SC-6,0.00
Tom Rice,R,SC-7,1.00
Kristi L. Noem,R,SD-AL,1.00
David P. Roe,R,TN-1,1.00
John J. Duncan Jr.,R,TN-2,1.00
Chuck Fleischmann ,R,TN-3,1.00
Scott DesJarlais,R,TN-4,1.00
Jim Cooper,D,TN-5,0.15
Diane Black,R,TN-6,1.00
Marsha Blackburn,R,TN-7,1.00
David Kustoff,R,TN-8,1.00
Steve Cohen,D,TN-9,0.08
Louie Gohmert,R,TX-1,1.00
Michael T. McCaul,R,TX-10,1.00
K. Michael Conaway,R,TX-11,1.00
Kay Granger,R,TX-12,1.00
Mac Thornberry,R,TX-13,1.00
Randy K. Weber Sr.,R,TX-14,1.00
Vicente Gonzalez,D,TX-15,0.08
Beto O'Rourke,D,TX-16,0.00
Bill Flores,R,TX-17,1.00
Sheila Jackson Lee,D,TX-18,0.00
Jodey C. Arrington,R,TX-19,1.00
Ted Poe,R,TX-2,1.00
Joaquin Castro,D,TX-20,0.00
Lamar Smith,R,TX-21,1.00
Pete Olson,R,TX-22,1.00
Will Hurd,R,TX-23,1.00
Kenny Marchant,R,TX-24,1.00
Roger Williams,R,TX-25,1.00
Michael C. Burgess,R,TX-26,1.00
Blake Farenthold,R,TX-27,1.00
Henry Cuellar,D,TX-28,0.69
Gene Green,D,TX-29,0.09
Sam Johnson,R,TX-3,1.00
Eddie Bernice Johnson,D,TX-30,0.00
John R. Carter,R,TX-31,1.00
Pete Sessions,R,TX-32,1.00
Marc A. Veasey,D,TX-33,0.00
Filemon Vela,D,TX-34,0.08
Lloyd Doggett,D,TX-35,0.00
Brian Babin,R,TX-36,1.00
John Ratcliffe,R,TX-4,1.00
Jeb Hensarling,R,TX-5,1.00
Joe Barton,R,TX-6,1.00
John Abney Culberson,R,TX-7,1.00
Kevin Brady,R,TX-8,1.00
Al Green,D,TX-9,0.00
Rob Bishop,R,UT-1,1.00
Chris Stewart,R,UT-2,1.00
Jason Chaffetz,R,UT-3,1.00
Mia B. Love,R,UT-4,1.00
Robert J. Wittman,R,VA-1,1.00
Barbara Comstock,R,VA-10,1.00
Gerald E. Connolly,D,VA-11,0.08
Scott Taylor,R,VA-2,1.00
Bobby Scott ,D,VA-3,0.00
A. Donald McEachin,D,VA-4,0.00
Thomas A. Garrett Jr.,R,VA-5,1.00
Bob Goodlatte,R,VA-6,1.00
Dave Brat,R,VA-7,1.00
Donald S. Beyer Jr.,D,VA-8,0.08
H. Morgan Griffith,R,VA-9,1.00
Peter Welch,D,VT-AL,0.00
Suzan K. DelBene,D,WA-1,0.00
Denny Heck,D,WA-10,0.08
Rick Larsen,D,WA-2,0.00
Jaime Herrera Beutler,R,WA-3,0.92
Dan Newhouse,R,WA-4,1.00
Cathy McMorris Rodgers,R,WA-5,1.00
Derek Kilmer,D,WA-6,0.00
Pramila Jayapal,D,WA-7,0.00
David G. Reichert,R,WA-8,0.85
Adam Smith,D,WA-9,0.00
Paul D. Ryan*,R,WI-1,1.00
Mark Pocan,D,WI-2,0.00
Ron Kind,D,WI-3,0.08
Gwen Moore,D,WI-4,0.00
F. James Sensenbrenner Jr.,R,WI-5,1.00
Glenn Grothman,R,WI-6,1.00
Sean P. Duffy,R,WI-7,1.00
Mike Gallagher,R,WI-8,1.00
David B. McKinley,R,WV-1,1.00
Alexander X. Mooney,R,WV-2,1.00
Evan H. Jenkins,R,WV-3,1.00
Liz Cheney,R,WY-AL,1.00
